"","X","Date","Country","Gender","Age","Q1","Q2","Q3","Q4","Q5","AgeCat"
"4",4,2018-10-28,"IRL","M",39,3,3,4,"NA","NA","Middle Aged"
"3",3,2018-10-21,"IRL","F",25,3,5,5,"5","2","Young"
"4.1",4,2018-10-28,"IRL","M",39,3,3,4,"NA","NA","Middle Aged"
"1",1,2018-10-15,"US","M",32,5,4,5,"5","5","Middle Aged"
"1.1",1,2018-10-15,"US","M",32,5,4,5,"5","5","Middle Aged"
"3.1",3,2018-10-21,"IRL","F",25,3,5,5,"5","2","Young"
"5",5,2018-05-01,"IRL","F",NA,2,2,1,"2","1","Elder"
"4.2",4,2018-10-28,"IRL","M",39,3,3,4,"NA","NA","Middle Aged"
"3.2",3,2018-10-21,"IRL","F",25,3,5,5,"5","2","Young"
"4.3",4,2018-10-28,"IRL","M",39,3,3,4,"NA","NA","Middle Aged"
